,material_id,cif,energy_per_atom
9251,C-130499-1826-36,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.48053000
_cell_length_b   5.09056000
_cell_length_c   4.89497000
_cell_angle_alpha   57.97521000
_cell_angle_beta   59.51109000
_cell_angle_gamma   43.04559000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   34.99453900
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  1.01706897  0.71072668  0.70544499  1
  C  C1  1  0.68025235  0.06989044  1.00318540  1
  C  C2  1  0.14234414  0.62471612  0.20939241  1
  C  C3  1  0.34433233  0.10871703  0.78081493  1
  C  C4  1  -0.11663885  0.55405962  0.57440517  1
  C  C5  1  0.00817595  0.46805771  0.07810120  1
",-154.3118905
6412,C-13904-4247-31,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.48986000
_cell_length_b   4.65679000
_cell_length_c   5.94592000
_cell_angle_alpha   90.03290000
_cell_angle_beta   77.93642000
_cell_angle_gamma   57.67568000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C10
_cell_volume   56.44264567
_cell_formula_units_Z   10
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.63628756  0.17653474  0.74659929  1
  C  C1  1  0.07535339  0.47745056  0.26783806  1
  C  C2  1  0.47656240  0.62130397  0.17699556  1
  C  C3  1  0.06673747  -0.03265767  0.30664321  1
  C  C4  1  0.46932917  0.11075260  0.21501637  1
  C  C5  1  0.76118709  0.95179661  0.94805867  1
  C  C6  1  0.03982870  0.87451288  0.54687266  1
  C  C7  1  0.90702757  0.41074852  0.73684904  1
  C  C8  1  0.78466636  0.63535708  0.53492922  1
  C  C9  1  0.50570438  0.71315951  0.93646533  1
",-154.332183
3301,C-92138-4782-35,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.44168000
_cell_length_b   4.79849000
_cell_length_c   5.95909000
_cell_angle_alpha   119.73602000
_cell_angle_beta   101.56104000
_cell_angle_gamma   75.51457000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C10
_cell_volume   58.45546221
_cell_formula_units_Z   10
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.56087068  0.98174403  0.47974027  1
  C  C1  1  -0.00468803  0.20581332  0.57242993  1
  C  C2  1  0.10601614  0.54447837  0.11818192  1
  C  C3  1  0.24636631  0.94304704  0.81685708  1
  C  C4  1  1.35930436  0.00018133  0.08565585  1
  C  C5  1  0.27834010  0.35580160  0.27822078  1
  C  C6  1  0.82177471  0.43862322  0.45647310  1
  C  C7  1  1.09775665  0.28398424  0.84967659  1
  C  C8  1  0.52976238  0.76893040  0.19162340  1
  C  C9  1  0.73345471  0.79690556  0.64274427  1
",-154.178157
4777,C-192672-505-73,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.47518000
_cell_length_b   4.18933000
_cell_length_c   11.18377000
_cell_angle_alpha   100.54005000
_cell_angle_beta   77.38712000
_cell_angle_gamma   89.87842000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C20
_cell_volume   111.15331676
_cell_formula_units_Z   20
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.99425098  -0.05270840  0.87298760  1
  C  C1  1  0.20780895  0.98257598  0.48645625  1
  C  C2  1  0.55903991  0.76830293  0.66196963  1
  C  C3  1  0.98045613  0.87377968  0.21382739  1
  C  C4  1  0.54531871  0.40571605  0.62029106  1
  C  C5  1  0.70048026  0.20680529  0.48557149  1
  C  C6  1  0.14597751  0.31635265  0.87666066  1
  C  C7  1  0.70956686  -0.05319318  1.01440936  1
  C  C8  1  0.55630748  0.78170833  0.80820666  1
  C  C9  1  0.97056021  0.28574060  0.67845460  1
  C  C10  1  -0.07019528  0.23869702  0.25287497  1
  C  C11  1  -0.20381595  0.43478246  0.39097401  1
  C  C12  1  0.08176142  0.93163262  0.62383187  1
  C  C13  1  1.13574889  0.44150227  1.01530047  1
  C  C14  1  0.70770196  0.42040658  0.81350039  1
  C  C15  1  0.47735730  0.36638362  0.19963017  1
  C  C16  1  1.29694166  0.66063079  0.39252762  1
  C  C17  1  0.14328388  0.80094160  1.06294396  1
  C  C18  1  0.60348283  0.30110751  0.06362084  1
  C  C19  1  0.43587779  0.71862349  0.25595082  1
",-154.309339
3764,C-193956-5355-22,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.39500000
_cell_length_b   4.81978000
_cell_length_c   3.65211000
_cell_angle_alpha   112.26885000
_cell_angle_beta   128.35152000
_cell_angle_gamma   77.74360000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.34806182
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.35890301  0.71636072  -0.04863116  1
  C  C1  1  0.35903523  0.41031263  0.67934984  1
  C  C2  1  0.35837196  0.21649154  0.89199672  1
  C  C3  1  0.35956628  -0.08981820  0.73872197  1
  C  C4  1  0.35652350  0.41000961  0.29657729  1
  C  C5  1  0.36141474  0.71666373  0.33414139  1
",-154.14183549999998
9492,C-176661-8591-28,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.17840000
_cell_length_b   4.67784000
_cell_length_c   4.67703000
_cell_angle_alpha   77.42149000
_cell_angle_beta   89.78550000
_cell_angle_gamma   90.21686000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C14
_cell_volume   89.22094520
_cell_formula_units_Z   14
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.79319063  0.75164920  0.50167715  1
  C  C1  1  0.92914556  0.01359753  1.23955906  1
  C  C2  1  0.29882896  1.00669402  0.24672037  1
  C  C3  1  0.43484571  -0.00660858  0.93996386  1
  C  C4  1  0.42363742  0.76146923  0.49182577  1
  C  C5  1  -0.21426580  0.28554450  0.30859291  1
  C  C6  1  0.36825967  0.29477952  0.77952112  1
  C  C7  1  0.93591250  0.47736558  0.43605272  1
  C  C8  1  0.78567653  0.94405452  -0.03227782  1
  C  C9  1  0.28790823  0.77196915  0.80058604  1
  C  C10  1  0.28791864  0.45300393  0.48067330  1
  C  C11  1  0.36841926  0.47322437  0.95859398  1
  C  C12  1  0.43496050  0.31287983  0.25987177  1
  C  C13  1  -0.06412471  0.81644950  0.77597978  1
",-154.19794285714286
1138,C-177252-751-44,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.43246000
_cell_length_b   7.19986000
_cell_length_c   6.61497000
_cell_angle_alpha   48.50971000
_cell_angle_beta   89.98176000
_cell_angle_gamma   90.01706000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C12
_cell_volume   86.77982369
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.40261223  0.01807284  1.04725383  1
  C  C1  1  -0.09739547  0.07391724  0.10248974  1
  C  C2  1  0.40265280  0.35139691  0.38048140  1
  C  C3  1  0.90267751  0.85139371  0.88048986  1
  C  C4  1  0.90244280  0.18441847  0.21416081  1
  C  C5  1  -0.09740558  0.51813482  0.54721643  1
  C  C6  1  0.90238827  0.74072587  -0.23076476  1
  C  C7  1  0.40268026  -0.09238242  0.93549619  1
  C  C8  1  0.40258565  0.57401109  0.60241192  1
  C  C9  1  0.40237900  0.68444962  0.71413438  1
  C  C10  1  0.40244503  0.24074398  0.26921995  1
  C  C11  1  -0.09735208  0.40763976  0.43548095  1
",-154.45401
2373,C-170900-9651-22,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.50566000
_cell_length_b   4.79040000
_cell_length_c   5.85223000
_cell_angle_alpha   80.64259000
_cell_angle_beta   84.75947000
_cell_angle_gamma   78.56324000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C12
_cell_volume   67.80708353
_cell_formula_units_Z   12
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.08518132  0.42152882  0.49143519  1
  C  C1  1  0.51293181  0.55044378  0.06567351  1
  C  C2  1  1.01513524  0.41468154  0.74991714  1
  C  C3  1  0.52406816  0.77846661  0.20318916  1
  C  C4  1  0.43829299  0.57697684  0.81668329  1
  C  C5  1  0.11408789  0.09959496  0.87850026  1
  C  C6  1  0.58762462  0.28583830  0.17628415  1
  C  C7  1  0.29095733  0.89079217  0.69808539  1
  C  C8  1  0.66169676  0.25930284  0.42477088  1
  C  C9  1  0.57257741  1.05746080  0.03991210  1
  C  C10  1  0.98220076  0.73641704  0.36422617  1
  C  C11  1  0.80345800  0.94564431  0.54456226  1
",-154.24175416666665
797,C-130544-211-29,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.51187000
_cell_length_b   4.11132000
_cell_length_c   4.19172000
_cell_angle_alpha   119.40794000
_cell_angle_beta   107.68747000
_cell_angle_gamma   89.97152000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   35.34653644
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.88337144  -0.01253937  -0.06422459  1
  C  C1  1  0.69344258  0.64316186  0.54808990  1
  C  C2  1  0.88375561  0.31824804  0.93622004  1
  C  C3  1  0.07853375  0.03151198  0.32403354  1
  C  C4  1  0.69374621  0.27459721  0.54827215  1
  C  C5  1  0.07865101  0.66282007  0.32457766  1
",-154.230684
4936,C-136247-3248-26,"# generated using pymatgen
data_C
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   2.42598000
_cell_length_b   4.21658000
_cell_length_c   4.21834000
_cell_angle_alpha   89.81438000
_cell_angle_beta   90.09485000
_cell_angle_gamma   90.02212000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   C
_chemical_formula_sum   C6
_cell_volume   43.15054012
_cell_formula_units_Z   6
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  C  C0  1  0.11835710  0.85251298  0.04028423  1
  C  C1  1  1.11845508  0.26260183  0.63447763  1
  C  C2  1  0.61829350  0.76611122  0.54451852  1
  C  C3  1  0.61860782  0.82417919  0.19597045  1
  C  C4  1  0.11855651  0.91403223  0.69252010  1
  C  C5  1  0.61841519  0.41828915  0.60603087  1
",-154.31424083333334
